id_encuesta;dni;fecha_llamada;hora_llamada;comunidad;edad;sexo;producto_contratado;importe_ultima_factura;satisfaccion_1_10;recomendaria;num_incidencias_previas;tipo_primera_incidencia;duracion_llamada_seg;operador
10782;80319684H;12/10/2026;10:52;andalucía;20;H;Fibra+Móvil;54.04;10;Sí;2;;412;Manuel Sánchez
11045;50851957B;2026-10-06;21:43;VALENCIA;40;Mujer;FIBRA 600;129,83;5;S;0;;724;Luciano Gómez
10532;35162973A;06/09/2025;12:51;cataluña;29;Hombre;Fibra600;35,33;6;No;2;AVERIA TECNICA;666;Ana Ruiz
10848;73425273G;08/06/2025;17:54;madrid;-3;2;FIBRA + MOVIL;177,86;2;S;1;Facturación;895;Luciano Gómez
10629;58530641E;2026-05-17;15:49;CATALUÑA;76;H;TV Premium;68.31;;N;2;Avería técnica;695;Federico Álvarez
10983;10508196H;10/07/2026;16:15;Catalunya;23;h;Fibra 600Mb;163,63;6;N;1;;189;Ana Ruiz
10875;10492908H;18/09/2026;12:02;CASTILLA LA MANCHA;74;2;Móvil 50GB;99,06 €;;s;3;Avería técnica;549;Manuel Sánchez
10990;27624922C;28/06/2026;18:57;CATALUÑA;43;Mujer;FIBRA + MOVIL;159,38;5;N;0;;393;Federico Álvarez
10575;79481283G;25/12/2025;21:40;C. Valenciana;52;m;Móvil 50GB;124.98;6;N;;;140;Ana Ruiz
11002;48977602J;04/12/2025;17:07;valencia;68;H;MOVIL 20GB;21.04;9;No;3;Avería técnica;743;Federico Álvarez
10017;91814137Z;16/11/2026;08:42;C. La Mancha;31;h;Fibra600;;;Sí;1;Instalación;11200;Menchu Rodríguez
10161;68868303B;02/06/2026;16:41;Andalucía;64;Mujer;Fibra 600Mb;58,24;8;NO;1;AVERIA TECNICA;723;Menchu Rodríguez
10909;99590719Y;2025-08-10;17:47;MADRID;38;m;FIBRA 600;46.68;7;S;4;Portabilidad;533;Menchu Rodriguez
10154;81762305C;20/05/2025;12:40;Castilla-La Mancha;31;2;Fibra+Móvil;12910;9;No;1;Atención al cliente;724;Federico Álvarez
11196;70508093V;10/03/2025;10:11;andalucía;48;Hombre;Fibra 600Mb;124.57;7;;;;175;Luciano Gómez
10509;29445978N;22/12/2026;20:05;CATALUÑA;56;M;FIBRA + MOVIL;25,42;3;No;0;;76;Menchu Rodríguez
10251;79519415N;12-08-25;12:06;C. Madrid;47;m;FIBRA 600;159,55;9;No;1;;51;Ana Ruiz
10433;75313260X;04/12/2026;18:14;Andalucía;50;M;Móvil 20GB;87,29;;n;2;AVERIA TECNICA;691;Ana Ruiz
90739;32472405C;08/12/2025;10:48;Castilla-La Mancha;47;2;FIBRA 600;28,24;8;Sí;0;;468;Ana Ruiz
10918;10763950N;14/03/2025;12:26;Castilla la Mancha;-3;Mujer;FIBRA + MOVIL;111.69;10;SI;1;Avería técnica;51;Federico Álvarez
11057;70727420M;20/09/2026;18:33;Cataluña;62;H;Móvil 20GB;125,10 €;1;S;4;AVERIA TECNICA;180;Gertrudis Pérez
10858;98682000A;10/09/2025;11:44;Andalucia;32;m;FIBRA + MOVIL;62,85;7;Sí;0;;873;Menchu Rodriguez
10382;75106148B;12-10-25;11:21;ANDALUCIA;199;M;Fibra600;;7;SI;2;Atención al cliente;801;Federico Álvarez
10799;34995104L;17-04-26;09:27;andalucía;59;h;Fibra 600Mb;25,86 €;3;NO;2;Atención al cliente;285;Luciano Gómez
10736;59775878T;28/06/2025;17:59;Andalucía;71;M;FIBRA + MOVIL;131,15 €;;n;1;Avería técnica;377;Manuel Sánchez
11147;43090825S;07/11/2025;11:12;CASTILLA LA MANCHA;70;H;Móvil 50GB;41,50;1;SI;0;;137;Ana Ruiz
10804;29032182Z;2025-05-01;11:09;Cataluña;39;Mujer;FIBRA + MOVIL;74,26;4;n;0;;81;Gertrudis Pérez
11078;54805225M;2026-09-10;12:20;CATALUÑA;60;M;Móvil 50GB;179.73;8;Sí;;;292;Ana Ruiz
10929;23701151J;19/04/2025;10:35;Andalucía;66;h;FIBRA + MOVIL;83,03;5;s;0;;209;Federico Álvarez
10827;25527931J;06/10/2025;20:29;CASTILLA LA MANCHA;82;2;FIBRA 600;59,75;5;s;0;;772;Ana Ruiz
10751;26095599A;04/10/2025;12:12;MADRID;19;H;FIBRA + MOVIL;69,93;5;n;2;;7;Menchu Rodriguez
11138;98415073L;27/10/2026;15:16;valencia;47;Mujer;tv premium;180.69;8;Sí;0;;107;Ana Ruiz
10904;20967980N;08/10/2025;21:43;Comunidad Valenciana;29;M;Fibra+Móvil;140,50;;NO;2;;178;Federico Álvarez
10877;63033490F;02/02/2025;21:11;C. Madrid;62;m;TV Premium;82,66;7;No;4;Avería técnica;385;Ana Ruiz
10881;94228764Y;2025-02-01;21:17;Madrid;48;2;Fibra 600Mb;91.36;5;N;;;7;Manuel Sánchez
10530;56650823L;12-11-25;18:21;andalucía;;2;TV Premium;52.32;5;s;0;;795;Gertrudis Pérez
10811;28699835T;21/08/2026;17:20;C. Valenciana;26;m;Fibra 600Mb;135,22;2;Sí;0;;401;Menchu Rodríguez
10718;52678611B;09/08/2025;21:40;castilla la mancha;37;Hombre;Móvil 20GB;;2;Sí;1;AVERIA TECNICA;7;Menchu Rodriguez
11105;42734298N;02/11/2026;16:30;cataluña;53;H;TV Premium;72.11;2;SI;0;;246;Ana Ruiz
10998;54949456S;02/06/2025;12:47;valencia;999;Mujer;FIBRA 600;96.72;;S;1;Avería técnica;574;Menchu Rodríguez
10337;25704934T;26-03-26;19:34;C. Valenciana;78;1;tv premium;44,87;5;s;2;Instalación;11200;Federico Álvarez
11013;73282322T;16/03/2026;11:09;andalucía;87;1;FIBRA 600;29,03;2;S;4;Avería técnica;434;Ana Ruiz
10740;57729668P;2025-02-24;19:41;MADRID;28;1;Fibra 600Mb;;9;N;1;;480;Manuel Sánchez
10732;63931605B;2026-04-03;16:31;Comunidad de Madrid;25;1;Móvil 50GB;95,96;7;s;4;Portabilidad;4;Gertrudis Pérez
10723;15117232F;07/10/2025;21:43;Comunidad Valenciana;54;Mujer;Fibra+Móvil;125.21;8;SI;4;;116;Gertrudis Pérez
10950;99021336Z;01/17/2025;19:05;C. Valenciana;71;H;FIBRA + MOVIL;35,32;6;N;4;AVERIA TECNICA;363;Gertrudis Pérez
10221;92304230X;16/11/2025;17:33;valencia;26;Mujer;Móvil 20GB;110,56;2;s;3;Avería técnica;808;Federico Álvarez
10828;73373850N;12/10/2026;13:26;Comunidad de Madrid;54;2;FIBRA 600;30,91 €;7;s;1;facturacion;715;Ana Ruiz
10556;47620609L;26/02/2025;14:43;cataluña;68;M;Móvil 20GB;133,69;1;n;3;Instalación;626;Luciano Gómez
11180;10912965X;16/12/2026;08:34;valencia;43;M;Fibra600;126,68;4;Sí;0;;804;Gertrudis Pérez
11086;76332729Q;21/03/2025;17:08;CASTILLA LA MANCHA;199;M;FIBRA 600;183,98;5;;4;facturacion;782;Menchu Rodríguez
10328;17501759J;15/12/2025;12:57;Catalunya;999;H;FIBRA + MOVIL;138,07 €;;n;0;;139;Menchu Rodríguez
10468;14148868Q;27/10/2026;17:21;Cataluña;77;Mujer;Fibra600;176.49;;Sí;1;AVERIA TECNICA;541;Federico Álvarez
10742;20465789T;01/01/2025;08:00;Comunidad Valenciana;65;Hombre;Móvil 20GB;147.55;10;n;1;Portabilidad;272;Ana Ruiz
10083;98151005T;19/07/2026;18:01;castilla la mancha;79;H;Fibra600;114,44;7;SI;;;309;Gertrudis Pérez
10705;96515359G;2026-03-25;09:07;castilla la mancha;25;H;tv premium;97.04;9;S;;;191;Ana Ruiz
11145;26470422N;27/01/2025;18:32;Andalucia;47;M;Móvil 50GB;109,75;8;s;0;;224;Luciano Gómez
10886;78702755R;21/03/2026;21:15;CLM;80;Hombre;MOVIL 20GB;139,09;;s;0;;114;Menchu Rodríguez
11143;74725290R;07/04/2025;16:48;CASTILLA LA MANCHA;82;H;TV Premium;114,23;;N;;;147;Federico Álvarez
10896;11576585J;2026-03-07;11:06;Castilla-La Mancha;35;H;MOVIL 20GB;165.56;3;Sí;1;Avería técnica;393;Menchu Rodríguez
11158;16756037T;2026-06-17;19:28;Comunidad Valenciana;81;m;MOVIL 20GB;101,79;7;n;;;546;Menchu Rodríguez
10164;79615955P;05/07/2026;21:03;Castilla la Mancha;;M;Fibra 600Mb;184.43;8;Sí;0;;712;Manuel Sánchez
11175;91992067Q;2025-05-15;13:45;VALENCIA;44;M;Fibra+Móvil;;9;S;;;62;Gertrudis Pérez
10250;61721315F;22-11-26;11:34;Castilla la Mancha;20;2;MOVIL 20GB;76,65;9;No;0;;754;Federico Álvarez
10623;98334533M;2025-08-21;09:37;Comunidad de Madrid;43;Mujer;Móvil 20GB;22,47;5;;2;facturacion;133;Federico Álvarez
10882;40535843L;11/04/2025;10:08;VALENCIA;75;Mujer;TV Premium;;8;N;0;;894;Menchu Rodriguez
11156;76625437H;2025-02-18;19:56;Castilla-La Mancha;59;H;TV Premium;37,21;9;s;0;;440;Manuel Sánchez
10824;45697816S;25/12/2026;10:59;MADRID;53;Mujer;MOVIL 20GB;105,01;;N;2;AVERIA TECNICA;119;Manuel Sánchez
11159;91413646F;07/04/2026;09:02;castilla la mancha;50;Hombre;Móvil 20GB;84,57;6;S;2;;848;Menchu Rodriguez
10935;72762271L;01/07/2025;17:25;ANDALUCIA;46;1;tv premium;63.26;6;S;2;;189;Menchu Rodríguez
11075;21985503E;16/06/2026;17:23;C. La Mancha;0;1;MOVIL 20GB;26.92;10;;2;;633;Manuel Sánchez
10231;92203408G;03/11/2026;10:10;Comunidad de Madrid;53;H;TV Premium;;;S;2;facturacion;632;Gertrudis Pérez
10590;86120966N;02-12-26;13:26;Castilla La Mancha ;48;1;TV Premium;91,38;8;No;0;;11200;Manuel Sánchez
10169;42407150E;2026-08-07;14:38;castilla la mancha;43;2;Fibra+Móvil;174.33;4;Sí;1;Atención al cliente;466;Gertrudis Pérez
10963;92479140R;17/10/2025;16:49;madrid;42;Mujer;TV Premium;63.87;7;;1;AVERIA TECNICA;57;Ana Ruiz
11030;71702109R;2025-07-06;12:27;castilla la mancha;30;h;FIBRA 600;59,62 €;3;n;0;;256;Menchu Rodríguez
11172;60835622H;2025-02-06;16:55;madrid;23;2;FIBRA 600;106,88;9;s;;;216;Menchu Rodríguez
10230;75532658E;16/09/2026;19:59;C. Valenciana;67;Hombre;Móvil 50GB;38,61;;n;2;Portabilidad;401;Manuel Sánchez
11174;18751044S;2026-05-02;11:24;Andalucia;66;Hombre;FIBRA 600;128.59;;Sí;1;Avería técnica;735;Manuel Sánchez
10199;80779024H;27/09/2025;11:02;Catalunya;47;2;FIBRA 600;;5;;4;Portabilidad;376;Menchu Rodríguez
10626;28053998S;18/04/2026;16:15;Castilla-La Mancha;88;Mujer;TV Premium;136.95;8;N;0;;71;Menchu Rodriguez
11119;51375455X;22-01-25;10:20;MADRID;54;h;TV Premium;83,42;4;No;3;;7;Luciano Gómez
10889;58452143D;25/12/2025;20:46;Comunidad de Madrid;56;h;Fibra+Móvil;147,27;6;No;1;Facturación;868;Ana Ruiz
10108;31964975C;23/09/2025;16:01;Comunidad Valenciana;53;H;Fibra 600Mb;128.94;2;No;1;;677;Ana Ruiz
10320;36067998A;01/10/2025;15:25;ANDALUCIA;46;2;FIBRA 600;116,85;10;S;;;440;Menchu Rodríguez
11140;36986236S;01/05/2026;08:29;andalucía;59;1;Fibra+Móvil;176,85;3;No;0;;606;Gertrudis Pérez
10511;44789350X;13-06-26;18:04;VALENCIA;36;Mujer;Fibra 600Mb;152,70;;n;2;Portabilidad;587;Menchu Rodríguez
10130;85234799R;2025-06-28;19:27;valencia;-3;2;Móvil 20GB;158,76;10;n;2;Facturación;621;Menchu Rodriguez
10090;44547178T;2026-05-06;11:59;castilla la mancha;77;M;TV Premium;73.86;2;;1;;643;Ana Ruiz
10577;48749351H;20/01/2026;20:14;Castilla la Mancha;88;Hombre;FIBRA 600;58,83 €;5;Sí;4;AVERIA TECNICA;4;Ana Ruiz
10420;94467833X;11-05-25;08:24;Castilla La Mancha ;;1;Fibra+Móvil;134,85;;Sí;;;868;Luciano Gómez
10554;58915273V;03-10-25;08:01;andalucía;53;M;Móvil 50GB;83,17;7;;;;428;Menchu Rodríguez
10769;16825666N;2026-07-04;21:36;Comunidad Valenciana;59;m;Fibra 600Mb;158.04;;;2;Avería técnica;316;Luciano Gómez
11165;80678290J;26-12-26;08:37;Andalucia;71;M;tv premium;35,05;1;NO;0;;675;Menchu Rodríguez
10107;42582616S;2026-10-26;10:53;Comunidad de Madrid;999;2;Móvil 50GB;171.78;5;S;0;;207;Luciano Gómez
10900;94267678S;22-09-26;13:28;C. La Mancha;28;H;FIBRA 600;163,35;1;No;0;;828;Ana Ruiz
11187;13767093V;18/09/2025;20:51;Castilla-La Mancha;37;1;Móvil 20GB;41,46;9;Sí;2;facturacion;247;Gertrudis Pérez
11189;92872880G;17/12/2026;09:20;C. Madrid;35;m;tv premium;47,95 €;3;N;1;;201;Menchu Rodriguez
10711;98030035G;07/25/2025;13:36;Cataluña;18;h;Fibra 600Mb;113,55 €;9;s;4;Avería técnica;7;Menchu Rodríguez
10317;17058041B;23/06/2026;16:09;C. Madrid;32;2;TV Premium;108,20;1;n;2;;78;Manuel Sánchez
10488;22737672A;04/02/2025;18:56;Andalucia;999;2;Fibra 600Mb;170,30;;SI;2;AVERIA TECNICA;878;Federico Álvarez
10954;42230090H;12-03-26;20:45;MADRID;51;1;FIBRA 600;;4;No;0;;233;Manuel Sánchez
10151;37080325Y;22-06-25;09:09;C. Valenciana;29;Mujer;Móvil 20GB;;4;S;0;;8400;Menchu Rodriguez
10815;31140608V;2025-02-22;08:05;Andalucía;65;H;FIBRA 600;88.08;;n;0;;468;Luciano Gómez
10351;74722085A;03/12/2026;08:47;VALENCIA;62;h;Fibra 600Mb;135.03;5;SI;;;711;Menchu Rodríguez
11176;41491100N;27/11/2025;17:54;valencia;999;Mujer;FIBRA + MOVIL;59,96 €;3;S;1;;279;Federico Álvarez
10997;90288563J;22/07/2025;13:59;ANDALUCIA;32;1;Móvil 50GB;151,44;3;s;0;;145;Menchu Rodríguez
10010;98152506K;27/03/2026;17:14;MADRID;59;m;TV Premium;113,13;10;n;0;;384;Luciano Gómez
10449;20530919N;2025-01-03;17:55;castilla la mancha;43;2;Móvil 20GB;94,33 €;;N;;;308;Gertrudis Pérez
10548;58116663M;02/11/2026;12:55;Comunidad de Madrid;69;Hombre;tv premium;53,21;2;NO;0;;4;Menchu Rodriguez
10037;56435233J;19/05/2026;11:45;valencia;67;Hombre;Móvil 20GB;;7;n;0;;183;Gertrudis Pérez
10342;47049537J;2025-01-27;16:32;ANDALUCIA;60;Hombre;Fibra 600Mb;139,21 €;1;SI;4;Facturación;158;Manuel Sánchez
10662;46181106E;02/05/2026;15:52;Madrid;55;M;Móvil 50GB;;9;N;0;;11200;Ana Ruiz
10039;23789531A;01/06/2026;14:27;cataluña;77;h;FIBRA + MOVIL;103,90;5;S;0;;209;Federico Álvarez
10755;59329945A;26/07/2026;14:17;Comunidad de Madrid;68;2;Fibra600;20,58 €;4;Sí;2;Instalación;772;Federico Álvarez
10137;35064018C;02/05/2025;18:53;ANDALUCIA;64;m;FIBRA + MOVIL;108,84;1;;4;AVERIA TECNICA;719;Gertrudis Pérez
10675;32044649J;2025-05-26;16:16;castilla la mancha;71;2;Fibra600;34.76;1;s;1;Portabilidad;250;Gertrudis Pérez
10287;73727543D;2025-01-14;16:48;Cataluña;;1;Fibra600;69,95;1;SI;2;Instalación;857;Manuel Sánchez
10408;62229970N;17/12/2026;08:06;Castilla La Mancha ;46;Mujer;Móvil 50GB;36,89;3;;2;Facturación;682;Manuel Sánchez
10949;67856582N;06/05/2025;10:00;cataluña;34;m;Fibra600;144,74;5;Sí;0;;7;Manuel Sánchez
10323;68887406N;16/03/2025;12:18;Madrid;68;M;Fibra 600Mb;136,02;1;S;0;;780;Menchu Rodriguez
10982;42889284B;2025-10-16;11:14;Castilla la Mancha;22;1;TV Premium;83,98 €;7;Sí;0;;178;Menchu Rodríguez
10321;25236850R;2025-01-03;12:29;Comunidad de Madrid;54;h;FIBRA + MOVIL;88,14 €;3;n;0;;555;Menchu Rodríguez
10645;10307476M;2025-02-13;09:16;andalucía;66;M;Móvil 50GB;68.44;6;NO;1;Avería técnica;594;Gertrudis Pérez
10006;56691700Q;24-12-26;21:13;CATALUÑA;57;2;Móvil 50GB;94.80;1;;0;;11200;Menchu Rodriguez
11111;88992344J;15/10/2026;13:08;C. Valenciana;19;1;MOVIL 20GB;152.17;5;n;1;facturacion;440;Ana Ruiz
11120;46893145X;09/03/2025;15:48;Madrid;27;H;Fibra600;;2;NO;1;Portabilidad;234;Federico Álvarez
10862;22501514M;16/04/2026;14:03;Castilla-La Mancha;70;H;tv premium;179,55 €;9;No;0;;4;Manuel Sánchez
10084;82702131Q;2025-08-16;10:43;Castilla La Mancha ;29;M;Móvil 20GB;181,47 €;1;Sí;;;873;Luciano Gómez
10522;28398887A;28/10/2026;12:37;MADRID;82;h;Fibra 600Mb;186,07;3;NO;0;;492;Federico Álvarez
10242;80206669J;16-12-25;14:46;Cataluña;59;M;Móvil 20GB;34,78;9;Sí;4;facturacion;265;Ana Ruiz
10018;68784149H;2025-04-02;08:57;cataluña;51;m;MOVIL 20GB;22.15;7;;0;;4;Ana Ruiz
11148;57619769K;21-07-25;19:27;MADRID;68;h;tv premium;79,13;9;No;0;;141;Menchu Rodriguez
10980;45498870M;16-11-25;11:10;valencia;44;H;FIBRA + MOVIL;33,33;5;s;0;;891;Menchu Rodriguez
10658;41110204A;01/09/2026;18:36;CATALUÑA;50;1;FIBRA + MOVIL;187,51;4;S;0;;781;Menchu Rodríguez
10236;26349017M;2025-08-08;17:55;Castilla la Mancha;56;Hombre;Fibra 600Mb;83,27 €;6;S;0;;4;Manuel Sánchez
11052;55047688C;2026-01-08;20:53;C. Valenciana;39;H;tv premium;37,32;5;s;1;;447;Menchu Rodriguez
10117;51057467V;03/11/2025;13:22;Andalucia;78;h;MOVIL 20GB;169,24;8;n;1;AVERIA TECNICA;400;Gertrudis Pérez
10806;89464060S;07/11/2026;10:16;Comunidad de Madrid;46;M;MOVIL 20GB;145.37;8;n;1;;809;Federico Álvarez
10749;75096120D;06/05/2025;20:12;cataluña;39;Hombre;TV Premium;152,14;9;NO;;;557;Menchu Rodriguez
11200;34900020G;11-05-25;15:28;C. Valenciana;74;2;Móvil 20GB;164,95;3;n;;;55;Ana Ruiz
90822;97593779B;12/07/2026;15:28;valencia;57;Mujer;Móvil 50GB;76,77;5;No;4;AVERIA TECNICA;143;Ana Ruiz
10778;12179863W;22/03/2026;21:10;Andalucía;;h;MOVIL 20GB;75,63;8;NO;0;;666;Ana Ruiz
10100;51794818J;22-12-26;21:07;andalucía;23;h;MOVIL 20GB;112,77;;No;1;Avería técnica;588;Ana Ruiz
10531;35020058W;2025-04-23;14:09;C. Madrid;199;h;MOVIL 20GB;58,95;5;Sí;4;AVERIA TECNICA;140;Menchu Rodríguez
10277;55308652C;28/09/2025;14:16;CATALUÑA;;h;MOVIL 20GB;46,14;;NO;0;;207;Menchu Rodríguez
10822;39085043Q;23/06/2026;19:49;C. Madrid;23;m;tv premium;83,72;;n;0;;805;Luciano Gómez
10041;26588798P;07/08/2025;15:06;andalucía;55;m;TV Premium;132.77;4;N;1;Facturación;517;Menchu Rodríguez
10808;21895884R;2026-06-25;15:39;cataluña;83;2;FIBRA + MOVIL;65,89;6;S;0;;757;Menchu Rodriguez
10052;68854810L;2026-05-01;21:10;Catalunya;83;m;MOVIL 20GB;84,73;3;s;0;;7;Ana Ruiz
10486;70762364P;01-01-25;15:21;CASTILLA LA MANCHA;50;Hombre;TV Premium;95,23;;S;1;AVERIA TECNICA;697;Menchu Rodríguez
10852;94141141J;19-11-25;10:03;C. Valenciana;80;H;Fibra+Móvil;94,37;6;n;3;Atención al cliente;573;Manuel Sánchez
10810;30818696V;02-04-25;12:59;VALENCIA;48;m;TV Premium;170,26;3;N;3;Portabilidad;69;Federico Álvarez
10588;64201369M;15-05-25;11:46;castilla la mancha;999;h;Fibra 600Mb;73,41;7;;3;Atención al cliente;618;Gertrudis Pérez
10278;72893661X;22/06/2025;14:15;VALENCIA;67;m;Fibra 600Mb;48.18;9;NO;0;;481;Ana Ruiz
10783;38289579C;22/02/2026;20:07;ANDALUCIA;73;Hombre;FIBRA 600;33.15;5;n;1;;438;Gertrudis Pérez
10818;39839737V;2026-12-12;14:34;Andalucía;55;1;FIBRA + MOVIL;;4;No;2;;129;Menchu Rodríguez
10111;99667845W;03/09/2025;11:22;Comunidad Valenciana;43;Mujer;tv premium;60.06;6;SI;0;;822;Menchu Rodriguez
10702;91821665D;07/22/2026;18:19;Madrid;999;h;Fibra+Móvil;132,98;;n;0;;7;Federico Álvarez
10540;22132351A;26/09/2026;15:39;CLM;24;M;MOVIL 20GB;170,51 €;9;SI;;;483;Menchu Rodriguez
10570;67808829A;09/09/2026;19:47;CASTILLA LA MANCHA;86;1;TV Premium;173,21;8;s;1;Avería técnica;792;Menchu Rodriguez
10866;27808883G;03-07-25;11:35;C. La Mancha;0;2;FIBRA + MOVIL;168,09;;;;;4;Menchu Rodriguez
10286;36657432G;16/05/2025;15:41;andalucía;71;2;MOVIL 20GB;57.69;5;No;0;;892;Manuel Sánchez
11124;26761009D;2025-02-24;09:53;CATALUÑA;41;2;FIBRA 600;;7;SI;3;Portabilidad;340;Ana Ruiz
10462;81539043W;22-09-26;11:50;C. Valenciana;82;m;Móvil 20GB;174,21;2;Sí;0;;136;Ana Ruiz
10825;47314149J;22-01-25;19:25;valencia;22;1;TV Premium;181,31 €;;s;0;;805;Manuel Sánchez
10892;63841857R;24/07/2025;17:27;andalucía;21;m;Fibra600;76,28;10;s;3;Instalación;93;Menchu Rodríguez
10424;48674406L;18/07/2026;15:34;castilla la mancha;78;Mujer;Fibra+Móvil;92,96;7;No;;;789;Gertrudis Pérez
90214;45380171D;15/07/2025;18:02;Castilla la Mancha;75;Hombre;Móvil 20GB;108,48;1;S;1;;725;Gertrudis Pérez
10560;10657629V;01/03/2025;10:04;C. Valenciana;61;1;Móvil 20GB;105,65;8;s;1;AVERIA TECNICA;235;Ana Ruiz
10833;19413349N;02-03-25;19:05;Catalunya;48;M;tv premium;39,56 €;8;n;0;;390;Ana Ruiz
11097;12366639P;08/04/2026;17:38;Catalunya;;M;Fibra 600Mb;122,52;9;NO;0;;60;Federico Álvarez
11127;26865440Y;12-04-26;13:43;C. Madrid;30;H;Fibra+Móvil;119.72;10;Sí;1;Avería técnica;235;Menchu Rodriguez
10270;87985531F;05/11/2025;18:35;CASTILLA LA MANCHA;23;M;FIBRA 600;175,78 €;6;Sí;0;;659;Manuel Sánchez
10405;77209533K;11/03/2025;09:15;Comunidad Valenciana;49;m;MOVIL 20GB;138,12;8;n;1;Facturación;509;Luciano Gómez
10649;54812188W;04/07/2026;21:55;cataluña;58;1;Fibra600;128.13;2;n;2;Avería técnica;864;Ana Ruiz
10871;22968073W;03/11/2025;19:42;Castilla la Mancha;64;Hombre;Móvil 20GB;66,09;5;No;1;Instalación;800;Menchu Rodriguez
11130;93188670R;2026-12-21;19:45;Castilla-La Mancha;83;Hombre;Fibra 600Mb;101.73;10;SI;2;Portabilidad;175;Ana Ruiz
10730;21813140C;25-06-25;20:40;valencia;78;H;TV Premium;26,43;8;SI;0;;7;Federico Álvarez
10314;86969264F;06/05/2025;13:04;andalucía;;H;FIBRA + MOVIL;96,70;8;SI;1;Avería técnica;225;Manuel Sánchez
11132;82272735H;2026-08-08;18:03;Comunidad de Madrid;77;1;tv premium;164,75;5;NO;1;Portabilidad;451;Menchu Rodriguez
10356;21321887R;09/27/2026;14:37;C. Valenciana;83;1;Fibra+Móvil;146,84;;No;4;;155;Manuel Sánchez
10599;12649093L;17/05/2025;14:42;Castilla-La Mancha;46;M;FIBRA + MOVIL;46,48;6;S;2;Avería técnica;409;Federico Álvarez
10046;73041498C;07/07/2025;12:42;Andalucia;32;Hombre;Fibra600;33.39;1;No;;;198;Ana Ruiz
10712;20385133T;19-03-25;10:11;andalucía;199;H;Fibra+Móvil;62.11;10;SI;0;;639;Menchu Rodriguez
10244;63465720D;27/12/2025;16:26;Andalucía;0;M;Fibra 600Mb;148,88;5;NO;1;AVERIA TECNICA;288;Menchu Rodríguez
10936;42892005F;14/03/2025;17:28;madrid;33;Mujer;MOVIL 20GB;82,08;;S;4;Portabilidad;4;Luciano Gómez
10617;53794765H;05/09/2026;11:44;CLM;999;M;Fibra+Móvil;30,42;;N;1;Atención al cliente;357;Menchu Rodriguez
10840;71880282Z;15/05/2025;12:13;cataluña;63;m;Fibra+Móvil;124,18;10;n;2;Atención al cliente;426;Manuel Sánchez
10684;70673572F;2025-03-18;11:06;Catalunya;67;M;Fibra+Móvil;78,60 €;3;N;1;Instalación;192;Manuel Sánchez
10112;83554680G;2026-05-25;15:46;Castilla-La Mancha;60;Hombre;Fibra+Móvil;81.87;2;S;4;facturacion;4;Gertrudis Pérez
10055;19942451M;2026-04-27;10:52;Andalucia;69;Hombre;MOVIL 20GB;97,35;10;s;4;Atención al cliente;419;Menchu Rodríguez
